k_true,param,sampler,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,-0.0023,0.6097,0.6745,0.706,0.8127,0.927,100.0
1,Alt1,NUTS,0.0168,0.5585,0.6603,0.7147,0.8092,0.9334,100.0
1,Alt1,HMC,-0.1338,0.6341,0.7025,0.7522,0.8226,0.9335,100.0
1,Alt2,bayesm,-0.0112,0.5679,0.6705,0.7186,0.8215,0.9214,100.0
1,Alt2,NUTS,0.0182,0.6015,0.6743,0.733,0.825,0.9201,100.0
1,Alt2,HMC,0.1453,0.6491,0.7099,0.7401,0.8269,0.9276,100.0
1,Alt3,bayesm,0.1257,0.5807,0.6829,0.7258,0.8203,0.9298,100.0
1,Alt3,NUTS,0.21,0.5855,0.6961,0.7398,0.8147,0.9341,100.0
1,Alt3,HMC,0.2577,0.6472,0.7174,0.7564,0.8402,0.935,100.0
1,Price,bayesm,0.0681,0.7483,0.7951,0.8344,0.9039,0.9579,100.0
1,Price,NUTS,0.1842,0.7706,0.8151,0.8473,0.9125,0.9591,100.0
1,Price,HMC,0.3104,0.7852,0.8225,0.8502,0.9129,0.9581,100.0
2,Alt1,bayesm,0.4497,0.8447,0.8871,0.9212,0.9636,0.9932,100.0
2,Alt1,NUTS,0.4964,0.8149,0.8679,0.9087,0.9593,0.9929,100.0
2,Alt1,HMC,0.1166,0.8458,0.8798,0.9186,0.9615,0.992,100.0
2,Alt2,bayesm,0.3643,0.8268,0.8682,0.9082,0.9478,0.9906,100.0
2,Alt2,NUTS,-0.1482,0.8366,0.862,0.9029,0.9495,0.9904,100.0
2,Alt2,HMC,0.4294,0.835,0.8723,0.9161,0.9517,0.9903,100.0
2,Alt3,bayesm,0.4205,0.8112,0.8668,0.9017,0.9516,0.9916,100.0
2,Alt3,NUTS,-0.4684,0.7926,0.8536,0.893,0.9543,0.9918,100.0
2,Alt3,HMC,0.5002,0.8306,0.8792,0.9094,0.9579,0.9913,100.0
2,Price,bayesm,0.6754,0.9355,0.9432,0.9611,0.9768,0.9953,100.0
2,Price,NUTS,0.4622,0.9344,0.9431,0.9649,0.9789,0.9953,100.0
2,Price,HMC,0.6342,0.9332,0.9428,0.9659,0.9812,0.9934,100.0
3,Alt1,bayesm,0.5573,0.9064,0.9269,0.9492,0.973,0.9913,100.0
3,Alt1,NUTS,0.5004,0.8813,0.9035,0.9419,0.9684,0.9878,100.0
3,Alt1,HMC,0.41,0.8937,0.9225,0.9496,0.9692,0.9913,100.0
3,Alt2,bayesm,0.5877,0.895,0.9171,0.9409,0.9656,0.9926,100.0
3,Alt2,NUTS,0.3868,0.8768,0.9031,0.9359,0.9586,0.9922,100.0
3,Alt2,HMC,0.5987,0.9082,0.9173,0.9443,0.9664,0.9865,100.0
3,Alt3,bayesm,0.3337,0.8978,0.9125,0.9405,0.9662,0.9889,100.0
3,Alt3,NUTS,0.5442,0.8813,0.912,0.944,0.9658,0.9899,100.0
3,Alt3,HMC,0.6836,0.896,0.9205,0.9488,0.969,0.9897,100.0
3,Price,bayesm,0.7791,0.9577,0.9633,0.9727,0.982,0.9938,100.0
3,Price,NUTS,0.5976,0.9557,0.959,0.9708,0.9806,0.9951,100.0
3,Price,HMC,0.6899,0.9577,0.9613,0.9705,0.981,0.9951,100.0
5,Alt1,bayesm,0.6144,0.9421,0.9492,0.9611,0.974,0.987,100.0
5,Alt1,NUTS,0.5968,0.9272,0.9337,0.9568,0.9706,0.9834,100.0
5,Alt1,HMC,0.3781,0.9375,0.9382,0.9583,0.9697,0.983,100.0
5,Alt2,bayesm,0.7545,0.9281,0.9432,0.9586,0.9718,0.9896,100.0
5,Alt2,NUTS,0.7098,0.9221,0.935,0.9522,0.9689,0.9904,100.0
5,Alt2,HMC,0.7625,0.9279,0.9404,0.9543,0.9701,0.9894,100.0
5,Alt3,bayesm,0.7569,0.9302,0.9429,0.9569,0.97,0.9907,100.0
5,Alt3,NUTS,0.6281,0.9119,0.9358,0.9499,0.9679,0.9908,100.0
5,Alt3,HMC,0.8003,0.9289,0.9406,0.9548,0.9681,0.9897,100.0
5,Price,bayesm,0.8587,0.9646,0.9705,0.9781,0.9839,0.9934,100.0
5,Price,NUTS,0.8513,0.9623,0.9684,0.9759,0.9824,0.9932,100.0
5,Price,HMC,0.8735,0.9623,0.9704,0.9771,0.9822,0.9934,100.0
