k_true,sampler,threshold,mean_est_k,frac_correct,n_sim
1,bayesm,0.01,2.19,0.15,100
1,bayesm,0.025,1.6,0.45,100
1,bayesm,0.05,1.25,0.76,100
1,nuts,0.01,1.31,0.72,100
1,nuts,0.025,1.14,0.87,100
1,nuts,0.05,1.12,0.88,100
1,hmc,0.01,1.15,0.85,100
1,hmc,0.025,1.07,0.93,100
1,hmc,0.05,1.02,0.98,100
2,bayesm,0.01,3.19,0.15,100
2,bayesm,0.025,2.42,0.59,100
2,bayesm,0.05,2.14,0.83,100
2,nuts,0.01,2.15,0.81,100
2,nuts,0.025,2.02,0.93,100
2,nuts,0.05,2.01,0.93,100
2,hmc,0.01,2.09,0.81,100
2,hmc,0.025,1.98,0.92,100
2,hmc,0.05,1.93,0.93,100
3,bayesm,0.01,4.09,0.17,100
3,bayesm,0.025,3.29,0.68,100
3,bayesm,0.05,2.96,0.92,100
3,nuts,0.01,3.08,0.75,100
3,nuts,0.025,2.9,0.86,100
3,nuts,0.05,2.89,0.87,100
3,hmc,0.01,3.08,0.78,100
3,hmc,0.025,2.97,0.82,100
3,hmc,0.05,2.89,0.84,100
5,bayesm,0.01,4.94,0.94,100
5,bayesm,0.025,4.8,0.8,100
5,bayesm,0.05,4.67,0.71,100
5,nuts,0.01,4.51,0.58,100
5,nuts,0.025,4.41,0.49,100
5,nuts,0.05,4.36,0.45,100
5,hmc,0.01,4.34,0.45,100
5,hmc,0.025,4.24,0.36,100
5,hmc,0.05,4.17,0.31,100
