k_true,element,bias_bayesm,bias_NUTS,bias_HMC,mcse_bayesm,mcse_NUTS,mcse_HMC,n_sim_bayesm,n_sim_NUTS,n_sim_HMC
1,"Δ₁,₁ (z1:Alt1)",-0.0086,-0.0159,-0.0136,0.0196,0.0217,0.0246,100.0,100.0,100.0
1,"Δ₁,₂ (z1:Alt2)",0.0047,-0.0002,0.0054,0.0159,0.0149,0.0155,100.0,100.0,100.0
1,"Δ₁,₃ (z1:Alt3)",-0.018,-0.0301,-0.0139,0.0214,0.0295,0.0211,100.0,100.0,100.0
1,"Δ₁,₄ (z1:Price)",-0.0006,-0.0002,-0.0004,0.0109,0.0109,0.011,100.0,100.0,100.0
1,"Δ₂,₁ (z2:Alt1)",0.0022,-0.0002,-0.0131,0.0199,0.0214,0.0268,100.0,100.0,100.0
1,"Δ₂,₂ (z2:Alt2)",-0.0156,-0.016,-0.0202,0.0148,0.0161,0.0154,100.0,100.0,100.0
1,"Δ₂,₃ (z2:Alt3)",0.0066,0.0165,0.0059,0.0132,0.0168,0.015,100.0,100.0,100.0
1,"Δ₂,₄ (z2:Price)",-0.0001,-0.0,-0.0006,0.0098,0.0097,0.0099,100.0,100.0,100.0
2,"Δ₁,₁ (z1:Alt1)",0.0215,0.0246,0.0271,0.012,0.0121,0.0129,100.0,100.0,100.0
2,"Δ₁,₂ (z1:Alt2)",0.006,0.0065,0.0123,0.0131,0.0132,0.0128,100.0,100.0,100.0
2,"Δ₁,₃ (z1:Alt3)",0.0194,0.015,0.0159,0.0128,0.0125,0.0125,100.0,100.0,100.0
2,"Δ₁,₄ (z1:Price)",0.0034,0.0053,0.0059,0.0092,0.0093,0.0096,100.0,100.0,100.0
2,"Δ₂,₁ (z2:Alt1)",-0.0058,-0.0015,-0.0054,0.0123,0.0136,0.0127,100.0,100.0,100.0
2,"Δ₂,₂ (z2:Alt2)",0.0063,0.0055,0.0074,0.0114,0.0122,0.0117,100.0,100.0,100.0
2,"Δ₂,₃ (z2:Alt3)",0.0028,0.0075,0.0053,0.017,0.0194,0.0172,100.0,100.0,100.0
2,"Δ₂,₄ (z2:Price)",0.0067,0.007,0.0106,0.0081,0.0084,0.0084,100.0,100.0,100.0
3,"Δ₁,₁ (z1:Alt1)",0.0212,0.0225,0.021,0.0124,0.0126,0.0124,100.0,100.0,100.0
3,"Δ₁,₂ (z1:Alt2)",0.0132,0.0134,0.0136,0.0122,0.0127,0.0128,100.0,100.0,100.0
3,"Δ₁,₃ (z1:Alt3)",0.0028,0.0006,0.0005,0.0122,0.0125,0.0126,100.0,100.0,100.0
3,"Δ₁,₄ (z1:Price)",0.0052,0.0049,0.0048,0.0093,0.0096,0.0096,100.0,100.0,100.0
3,"Δ₂,₁ (z2:Alt1)",-0.0058,-0.0029,-0.0092,0.0116,0.0121,0.0124,100.0,100.0,100.0
3,"Δ₂,₂ (z2:Alt2)",-0.0133,-0.0194,-0.0143,0.0137,0.0136,0.0139,100.0,100.0,100.0
3,"Δ₂,₃ (z2:Alt3)",-0.0079,-0.0106,-0.011,0.0122,0.0131,0.0129,100.0,100.0,100.0
3,"Δ₂,₄ (z2:Price)",0.0132,0.0107,0.0122,0.0096,0.0099,0.0102,100.0,100.0,100.0
5,"Δ₁,₁ (z1:Alt1)",-0.0185,-0.0147,-0.0172,0.0124,0.0129,0.0131,100.0,100.0,100.0
5,"Δ₁,₂ (z1:Alt2)",-0.0241,-0.0242,-0.0219,0.0127,0.013,0.0127,100.0,100.0,100.0
5,"Δ₁,₃ (z1:Alt3)",-0.0171,-0.0212,-0.0153,0.0123,0.013,0.0129,100.0,100.0,100.0
5,"Δ₁,₄ (z1:Price)",0.0078,0.0098,0.0096,0.0088,0.0091,0.0096,100.0,100.0,100.0
5,"Δ₂,₁ (z2:Alt1)",0.01,0.0094,0.011,0.013,0.0137,0.0138,100.0,100.0,100.0
5,"Δ₂,₂ (z2:Alt2)",0.0169,0.0141,0.0139,0.0127,0.013,0.0133,100.0,100.0,100.0
5,"Δ₂,₃ (z2:Alt3)",0.0097,0.0069,0.007,0.0135,0.0141,0.0136,100.0,100.0,100.0
5,"Δ₂,₄ (z2:Price)",0.0163,0.0181,0.0184,0.0097,0.0102,0.0104,100.0,100.0,100.0
