dataset_key,scenario,k_true,data_seed,sampler,n_chains,k_model,r_total,burn_in,thin,seed,a_mu,a_delta,dirichlet_a
kt1_s01,1comp,1,1,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s02,1comp,1,2,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s03,1comp,1,3,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s04,1comp,1,4,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s05,1comp,1,5,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s06,1comp,1,6,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s07,1comp,1,7,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s08,1comp,1,8,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s09,1comp,1,9,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt1_s10,1comp,1,10,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s01,2comp_equal,2,1,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s02,2comp_equal,2,2,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s03,2comp_equal,2,3,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s04,2comp_equal,2,4,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s05,2comp_equal,2,5,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s06,2comp_equal,2,6,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s07,2comp_equal,2,7,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s08,2comp_equal,2,8,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s09,2comp_equal,2,9,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt2_s10,2comp_equal,2,10,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s01,3comp_equal,3,1,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s02,3comp_equal,3,2,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s03,3comp_equal,3,3,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s04,3comp_equal,3,4,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s05,3comp_equal,3,5,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s06,3comp_equal,3,6,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s07,3comp_equal,3,7,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s08,3comp_equal,3,8,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s09,3comp_equal,3,9,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt3_s10,3comp_equal,3,10,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s01,5comp_equal,5,1,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s02,5comp_equal,5,2,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s03,5comp_equal,5,3,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s04,5comp_equal,5,4,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s05,5comp_equal,5,5,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s06,5comp_equal,5,6,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s07,5comp_equal,5,7,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s08,5comp_equal,5,8,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s09,5comp_equal,5,9,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
kt5_s10,5comp_equal,5,10,bayesm,1,5,42000,2000,4,42,0.01,0.01,1.0
